Tick;Step;Energy;Rule;Sheep_gain_from_food;Sheep_reproduce;0_Position;1_Position;ID
2;2;8;R1 - Eat grass;4;4;18,0;84,0;cfa1c454-8928-4a7f-b122-08ef0b48d678
2;2;6;R1 - Eat grass;4;4;73,0;10,0;ffd87470-1c36-490a-89f8-7c3b9b464a0a
2;2;3;R1 - Eat grass;4;4;85,0;36,0;c83fe758-a934-458f-a90e-329cb579c054
2;2;8;R1 - Eat grass;4;4;93,0;77,0;ebe13927-a9c5-42bc-b523-ea66b73adf8a
2;2;6;R1 - Eat grass;4;4;42,0;16,0;4f2c887b-de67-48bd-942c-1b7fd51a269e
2;2;7;R1 - Eat grass;4;4;81,0;22,0;74a62780-727c-4c4e-ae97-dd8055a8a17b
2;2;8;R1 - Eat grass;4;4;61,0;39,0;905e57bc-f589-437d-b44a-e78842a3003c
2;2;2;R2 - No food found;4;4;100,0;32,0;cbf2151f-f9e4-4831-af68-d8db7384d622
2;2;9;R1 - Eat grass;4;4;63,0;31,0;387fa746-8b2d-49e1-b60a-37852c0a933a
2;2;6;R1 - Eat grass;4;4;7,0;13,0;76cc81ee-2708-42c2-b4f3-78841d5f0100
2;2;9;R1 - Eat grass;4;4;30,0;72,0;7d9ff267-6ee5-46e2-8094-b485299c4359
2;2;9;R1 - Eat grass;4;4;15,0;77,0;d0ff6263-9dee-4439-a002-19a6420e5e66
2;2;9;R1 - Eat grass;4;4;66,0;9,0;e708cff8-2d1a-4844-aff0-22a30fb2f59c
2;2;5;R1 - Eat grass;4;4;66,0;66,0;2d3f8f70-afaa-4263-bb02-df2ed0e9a282
2;2;9;R1 - Eat grass;4;4;65,0;84,0;279d433c-e542-460b-b598-6f609e857d96
2;2;4;R1 - Eat grass;4;4;24,0;16,0;0028689f-bd32-4da4-8423-92518ac29e2d
2;2;7;R1 - Eat grass;4;4;60,0;36,0;085b9b00-e31a-432c-abaf-727a60348930
2;2;8;R1 - Eat grass;4;4;16,0;54,0;01dad334-cd16-4dca-9227-7ee9a9392530
2;2;8;R1 - Eat grass;4;4;70,0;73,0;1f8b2f0d-59b2-4648-a02c-8bb20c486885
2;2;6;R1 - Eat grass;4;4;58,0;13,0;3112d43a-225d-4a9a-af71-a61bc8a48027
2;2;3;R1 - Eat grass;4;4;51,0;36,0;c80e8c2e-5bfe-4960-b550-6f980ae7a2d4
2;2;7;R1 - Eat grass;4;4;53,0;50,0;38d950ad-2c90-44ab-bda7-2d71647f3823
2;2;7;R1 - Eat grass;4;4;59,0;75,0;51e7366f-19a9-464a-b129-d7673f5d2dfb
2;2;4;R1 - Eat grass;4;4;75,0;33,0;a8cae50d-c1e5-4d5e-97e4-4af5bab6ab6b
2;2;4;R1 - Eat grass;4;4;67,0;71,0;ac39e36e-efb0-47e9-8c21-d1f520e8e317
2;2;8;R1 - Eat grass;4;4;14,0;4,0;2aeeee6b-fe17-4f5f-8d79-1066bbd5cc5b
2;2;9;R1 - Eat grass;4;4;41,0;66,0;e6713625-6962-4a83-9e42-a6aa5ca58540
2;2;9;R1 - Eat grass;4;4;88,0;3,0;3695aefa-ef47-419a-a674-45f4eca167cd
2;2;4;R1 - Eat grass;4;4;37,0;92,0;f53cf129-2696-4c49-a1bd-6845ae642ff5
2;2;9;R1 - Eat grass;4;4;44,0;8,0;74e9332f-5205-4b26-94fc-9c0a1a2ab708
2;2;1;R2 - No food found;4;4;100,0;0,0;4d2322b3-c40c-49ce-be07-707616d94cf0
2;2;6;R1 - Eat grass;4;4;28,0;73,0;8ba747c7-4929-4fce-9de6-f408f5468942
2;2;8;R1 - Eat grass;4;4;17,0;82,0;585c0b51-b59b-437b-b2f5-87615ed95514
2;2;5;R1 - Eat grass;4;4;83,0;23,0;97739507-d11e-4f9b-a731-0470ed3b017c
2;2;5;R1 - Eat grass;4;4;37,0;19,0;2d30dfa6-42b4-4b71-83b3-2b55170b286c
2;2;4;R1 - Eat grass;4;4;49,0;37,0;256de3f5-e87b-418b-a750-5e948510814f
